"Lotação Destinatário"|"Ano/Mês Encerramento"|"Cycletime SS"|"Leadtime SS"|"Cycletime Lote"|"Leadtime Lote"|
"SUPDE/DERCE/DE401"|"2017/10"|38.200000|63.400000|11.250000|31.250000|
"SUPDE/DERCE/DE401"|"2017/11"|24.000000|38.400000|30.800000|38.300000|
"SUPDE/DERCE/DE401"|"2017/12"|21.571429|59.142857|26.571429|66.571429|
"SUPDE/DERCE/DE402"|"2017/11"|1.000000|301.000000|||
"SUPDE/DERCE/DE402"|"2017/12"|211.214286|469.000000|||
"SUPDE/DERCE/DE402"|"2018/01"|86.666667|193.000000|||
"SUPDE/DERCE/DE403"|"2017/10"|1.000000|4.000000|1.000000|1.000000|
"SUPDE/DERCE/DE403"|"2017/11"|34.400000|51.400000|39.300000|50.300000|
"SUPDE/DERCE/DE403"|"2017/12"|7.000000|22.000000|7.000000|22.000000|
"SUPDE/DERCE/DE404"|"2017/09"|1.666667|41.666667|1.000000|3.000000|
"SUPDE/DERCE/DE404"|"2017/10"|2.153846|22.076923|3.375000|16.000000|
"SUPDE/DERCE/DE404"|"2017/11"|4.235294|14.029412|5.812500|11.437500|
"SUPDE/DERCE/DE404"|"2017/12"|11.222222|26.555556|16.000000|25.777778|
"SUPDE/DERCE/DE404"|"2018/01"|7.000000|38.000000|13.857143|18.714286|
"SUPDE/DERCE/DE406"|"2017/10"|1.000000|11.375000|||
"SUPDE/DERCE/DE406"|"2017/11"|6.750000|29.500000|3.500000|8.500000|
"SUPDE/DERCE/DE406"|"2017/12"|4.200000|30.800000|5.000000|24.500000|
"SUPDE/DERCE/DE406"|"2018/01"|9.055556|64.888889|9.357143|32.000000|
"SUPDE/DERCE/DE407"|"2017/09"|9.500000|16.500000|||
"SUPDE/DERCE/DE407"|"2017/10"|7.250000|14.250000|||
"SUPDE/DERCE/DE407"|"2017/11"|14.333333|27.750000|5.500000|7.000000|
"SUPDE/DERCE/DE407"|"2017/12"|6.000000|12.000000|12.000000|12.000000|
"SUPDE/DERCE/DE408"|"2017/10"|1.000000|3.666667|1.666667|3.666667|
