"Lotação Proj."|"Ano/Mês Encerramento"|"PF Real."|"PF Qualificado"|
"SUPDE/DERCE/DE411"|"2017/02"|27.290000|24.290000|
"SUPDE/DERCE/DE414"|"2017/02"|28.000000|28.000000|
"SUPDE/DERCE/DE415"|"2017/02"|114.250000|114.250000|
"SUPDE/DERCE/DE4CT"|"2017/02"|55.750000|55.750000|
"SUPDE/DERCE/DE4D1"|"2017/02"|157.350000|99.250000|
"SUPDE/DERCE/DE4D2"|"2017/02"|1282.950000|1282.950000|
"SUPDE/DERCE/DE4D3"|"2017/02"|27.250000|0.000000|
"SUPDE/DERCE/DE4D4"|"2017/02"|21.730000|7.480000|
"SUPDE/DERCE/DE4D8"|"2017/02"|20.250000|6.000000|
"SUPDE/DERCE/DE410"|"2017/03"|14.000000|14.000000|
"SUPDE/DERCE/DE411"|"2017/03"|137.050000|137.050000|
"SUPDE/DERCE/DE413"|"2017/03"|277.900000|268.900000|
"SUPDE/DERCE/DE414"|"2017/03"|451.800000|451.800000|
"SUPDE/DERCE/DE415"|"2017/03"|37.000000|37.000000|
"SUPDE/DERCE/DE4CT"|"2017/03"|6.000000|6.000000|
"SUPDE/DERCE/DE4D1"|"2017/03"|190.500000|130.450000|
"SUPDE/DERCE/DE4D2"|"2017/03"|234.350000|234.350000|
"SUPDE/DERCE/DE4D3"|"2017/03"|35.100000|0.000000|
"SUPDE/DERCE/DE4D4"|"2017/03"|284.020000|276.520000|
"SUPDE/DERCE/DE4D5"|"2017/03"|0.000000|0.000000|
"SUPDE/DERCE/DE4D7"|"2017/03"|26.250000|26.250000|
"SUPDE/DERCE/DE4D9"|"2017/03"|55.750000|55.750000|
"SUPDE/DERCE/DE410"|"2017/04"|261.530000|261.530000|
"SUPDE/DERCE/DE411"|"2017/04"|15.000000|0.000000|
"SUPDE/DERCE/DE413"|"2017/04"|20.000000|10.000000|
"SUPDE/DERCE/DE414"|"2017/04"|90.250000|66.250000|
"SUPDE/DERCE/DE415"|"2017/04"|40.150000|40.150000|
"SUPDE/DERCE/DE4CT"|"2017/04"|150.750000|0.000000|
"SUPDE/DERCE/DE4D1"|"2017/04"|17.250000|17.250000|
"SUPDE/DERCE/DE4D3"|"2017/04"|233.880000|229.380000|
"SUPDE/DERCE/DE4D4"|"2017/04"|291.300000|166.200000|
"SUPDE/DERCE/DE4D5"|"2017/04"|54.900000|50.400000|
"SUPDE/DERCE/DE4D6"|"2017/04"|162.550000|162.550000|
"SUPDE/DERCE/DE4D7"|"2017/04"|61.100000|61.100000|
"SUPDE/DERCE/DE4D8"|"2017/04"|217.600000|217.600000|
"SUPDE/DERCE/DE4D9"|"2017/04"|30.000000|30.000000|
