"Depto. Destinatário"|"Ano/Mês Entrega"|"% Entregas no Prazo"|"Qtd. SS"|"Qtd. Entregas"|"Qtd. Entr. Prazo"|
"DERCE"|"2018/02"|0.967742|62|62|60|
"DERCE"|"2018/01"|0.900000|109|110|99|
"DERCE"|"2017/12"|0.932927|163|164|153|
"DERCE"|"2017/11"|0.958115|191|191|183|
"DERCE"|"2017/10"|0.907895|147|152|138|
"DERCE"|"2017/09"|0.883871|153|155|137|
"DERCE"|"2017/08"|0.951724|142|145|138|
"DERCE"|"2017/07"|0.992754|137|138|137|
"DERCE"|"2017/06"|0.985612|139|139|137|
"DERCE"|"2017/05"|0.981132|159|159|156|
"DERCE"|"2017/04"|0.936937|110|111|104|
"DERCE"|"2017/03"|0.953020|148|149|142|
"DERCE"|"2017/02"|0.981982|110|111|109|
